2026-02-07 12:37:30 startup archives install
2026-02-07 12:37:30 install base-passwd:amd64 <none> 3.6.7
2026-02-07 12:37:30 status half-installed base-passwd:amd64 3.6.7
2026-02-07 12:37:30 status unpacked base-passwd:amd64 3.6.7
2026-02-07 12:37:30 configure base-passwd:amd64 3.6.7 3.6.7
2026-02-07 12:37:30 status half-configured base-passwd:amd64 3.6.7
2026-02-07 12:37:30 status installed base-passwd:amd64 3.6.7
2026-02-07 12:37:30 startup archives install
2026-02-07 12:37:30 install base-files:amd64 <none> 13.8+deb13u3
2026-02-07 12:37:30 status half-installed base-files:amd64 13.8+deb13u3
2026-02-07 12:37:30 status unpacked base-files:amd64 13.8+deb13u3
2026-02-07 12:37:30 configure base-files:amd64 13.8+deb13u3 13.8+deb13u3
2026-02-07 12:37:31 status half-configured base-files:amd64 13.8+deb13u3
2026-02-07 12:37:31 status installed base-files:amd64 13.8+deb13u3
2026-02-07 12:37:31 startup archives install
2026-02-07 12:37:31 upgrade dpkg 1.22.21 1.22.21
2026-02-07 12:37:31 status half-configured dpkg 1.22.21
2026-02-07 12:37:31 status unpacked dpkg 1.22.21
2026-02-07 12:37:31 status half-installed dpkg 1.22.21
2026-02-07 12:37:31 status unpacked dpkg:amd64 1.22.21
2026-02-07 12:37:31 configure dpkg:amd64 1.22.21 1.22.21
2026-02-07 12:37:31 status half-configured dpkg:amd64 1.22.21
2026-02-07 12:37:31 status installed dpkg:amd64 1.22.21
2026-02-07 12:37:31 startup archives install
2026-02-07 12:37:31 install libc6:amd64 <none> 2.41-12+deb13u1
2026-02-07 12:37:31 status half-installed libc6:amd64 2.41-12+deb13u1
2026-02-07 12:37:31 status unpacked libc6:amd64 2.41-12+deb13u1
2026-02-07 12:37:31 configure libc6:amd64 2.41-12+deb13u1 2.41-12+deb13u1
2026-02-07 12:37:31 status half-configured libc6:amd64 2.41-12+deb13u1
2026-02-07 12:37:31 status installed libc6:amd64 2.41-12+deb13u1
